NAME,START,LABEL
C2S_MODEL_RESPONSE,          214210,Chevrolet Impala eAssist
C2S_MODEL_RESPONSE,          214400,Chevrolet Lumina (Car)
C2S_MODEL_RESPONSE,          214540,Chevrolet Lumina Unspecified
C2S_MODEL_RESPONSE,          214680,Chevrolet Lumina Passenger Van
C2S_MODEL_RESPONSE,          215000,Chevrolet Malibu
C2S_MODEL_RESPONSE,          215010,Chevrolet Malibu Hybrid
C2S_MODEL_RESPONSE,          215020,Chevrolet Malibu Eco
C2S_MODEL_RESPONSE,          215030,Chevrolet Malibu Limited
C2S_MODEL_RESPONSE,          215100,Chevrolet Malibu Maxx
C2S_MODEL_RESPONSE,          215150,Chevrolet Malibu Unspecifed
C2S_MODEL_RESPONSE,          215200,Chevrolet Metro
C2S_MODEL_RESPONSE,          215400,Chevrolet Monte Carlo
C2S_MODEL_RESPONSE,          215800,Chevrolet Prizm
C2S_MODEL_RESPONSE,          216200,Chevrolet S10
C2S_MODEL_RESPONSE,          216600,Chevrolet Silverado Unspecified
C2S_MODEL_RESPONSE,          216620,Chevrolet Silverado 1500
C2S_MODEL_RESPONSE,          216630,Chevrolet Silverado 1500 Hybrid
C2S_MODEL_RESPONSE,          216640,Chevrolet Silverado 2500
C2S_MODEL_RESPONSE,          216670,Chevrolet Silverado 3500
C2S_MODEL_RESPONSE,          216675,Chevrolet Silverado EV
C2S_MODEL_RESPONSE,          216690,Chevrolet Sonic
C2S_MODEL_RESPONSE,          216700,Chevrolet Spark
C2S_MODEL_RESPONSE,          216710,Chevrolet Spark Electric
C2S_MODEL_RESPONSE,          216800,Chevrolet Sportvan
C2S_MODEL_RESPONSE,          217000,Chevrolet Sprint
C2S_MODEL_RESPONSE,          217100,Chevrolet SS
C2S_MODEL_RESPONSE,          217200,Chevrolet SSR
